date,min_scriptures,min_study,min_league,min_tv,min_chores,min_family,min_kids,min_cheryl,flag_s,flag_h,flag_ht,flag_lift,flag_cardio,flag_fhe
6/28/2016,10,30,60,0,90,0,0,0,0,,,,,
7/4/2016,10,30,0,0,30,90,0,0,0,,,,,
7/5/2016,10,30,30,0,20,0,60,0,0,,,,,
7/6/2016,8,0,90,0,30,0,0,0,1,,,,,
7/7/2016,1,0,120,0,60,0,0,0,0,,,,,
7/8/2016,10,30,0,0,60,0,0,60,0,,,,,
7/9/2016,10,30,180,0,45,0,0,0,0,,,,,
7/10/2016,1,0,0,135,30,0,0,0,0,,,,,
7/11/2016,10,0,120,0,60,0,0,0,0,,,,,
7/12/2016,10,30,30,0,70,0,0,0,0,,,,,
7/13/2016,10,30,0,0,60,60,0,45,0,1,,,,
7/17/2016,,,,,,,,,1,,,,,
7/19/2016,,,,,,,,,1,,,,,
7/25/2016,,,,,,,,,,1,,,,
7/27/2016,1,105,0,0,90,0,0,,,,,,1,
7/28/2016,1,0,150,0,60,0,0,0,0,0,,1,,
7/29/2016,3,0,50,0,60,0,0,0,1,,,,,
7/30/2016,2,60,140,0,30,0,0,0,,,,,,
7/31/2016,10,50,,,60,,,,,,1,,,
8/1/2016,10,15,120,,60,,,,,,,,1,
8/2/2016,10,45,,,30,,,,,,,1,,1
8/3/2016,10,50,,,60,,,20,,,,,,
8/4/2016,2,,90,,70,,,30,1,,,1,,
8/5/2016,1,,100,,90,,,,,,,,,
8/6/2016,10,,140,,75,,,,,,,,,
8/7/2016,1,,,30,150,,,20,,,1,,,
8/8/2016,9,40,,,60,,,15,,1,,,,
8/9/2016,3,,150,,75,,,,,,,,,
8/10/2016,5,120,,15,75,,,,,,,,1,
8/11/2016,10,150,,,60,,,,,,,,,
8/12/2016,,,,60,,,,,,,,,,
8/13/2016,1,0,250,120,,20,,,,,,,,
8/14/2016,1,30,240,,,,,,,,,,,
8/15/2016,10,30,150,,,,,,,,,,,
8/16/2016,,,,,,,,,,,,,,
